"Nom de la Station","SALLUIT"
"Province","QUÉBEC"
"Latitude","62,18"
"Longitude","-75,67"
"Altitude","228,00"
"ID climatologique","7117800"
"ID de l'OMM","71641"
"ID de TC","MFX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2015-01-01 17:00","2015","01","01","17:00","-29,0","","-32,0","","75","","26","","7","","","","96,26","","","","-36","","ND"
"2015-01-01 18:00","2015","01","01","18:00","-28,5","","-31,5","","75","","26","","5","","","","96,27","","","","-34","","ND"
"2015-01-01 19:00","2015","01","01","19:00","-28,9","","-31,9","","75","","27","","5","","","","96,30","","","","-34","","ND"
"2015-01-01 20:00","2015","01","01","20:00","-29,0","","-32,0","","75","","28","","6","","","","96,35","","","","-35","","ND"
"2015-01-01 21:00","2015","01","01","21:00","-28,4","","-31,4","","76","","26","","4","","","","96,36","","","","-33","","ND"
"2015-01-01 22:00","2015","01","01","22:00","-28,5","","-31,5","","75","","25","","5","","","","96,40","","","","-34","","ND"
"2015-01-01 23:00","2015","01","01","23:00","-27,9","","-30,8","","76","","24","","6","","","","96,42","","","","-34","","ND"
"2015-01-02 00:00","2015","01","02","00:00","-28,1","","-31,1","","76","","26","","4","","","","96,43","","","","-32","","ND"
"2015-01-02 01:00","2015","01","02","01:00","-27,9","","-30,8","","76","","24","","3","","","","96,46","","","","-31","","ND"
"2015-01-02 02:00","2015","01","02","02:00","-27,7","","-30,6","","76","","26","","3","","","","96,51","","","","-31","","ND"
"2015-01-02 03:00","2015","01","02","03:00","-27,5","","-30,3","","77","","24","","4","","","","96,56","","","","-32","","ND"
"2015-01-02 04:00","2015","01","02","04:00","-27,6","","-30,4","","77","","24","","3","","","","96,59","","","","-31","","ND"
"2015-01-02 05:00","2015","01","02","05:00","-28,0","","-30,9","","76","","25","","3","","","","96,63","","","","-31","","ND"
"2015-01-02 06:00","2015","01","02","06:00","-26,9","","-29,6","","77","","24","","2","","","","96,68","","","","-29","","ND"
"2015-01-02 07:00","2015","01","02","07:00","-27,3","","-30,1","","77","","26","","2","","","","96,74","","","","-29","","ND"
"2015-01-02 08:00","2015","01","02","08:00","-27,0","","-29,7","","77","","25","","3","","","","96,76","","","","-30","","ND"
"2015-01-02 09:00","2015","01","02","09:00","-26,7","","-29,5","","78","","26","","3","","","","96,82","","","","-30","","ND"
"2015-01-02 10:00","2015","01","02","10:00","-27,2","","-30,1","","77","","26","","5","","","","96,85","","","","-32","","ND"
