dates,Q_R_uncorrected,Q_R_corrected,Q_EC
2015-10-08 00:00:00+00:00,-0.307692307692,-0.308516665707,-0.733333333333
2015-10-09 00:00:00+00:00,-1.53846153846,-1.53935652164,-2.2
2015-10-11 00:00:00+00:00,-0.692307692308,-0.693361331048,-1.46
2015-10-12 00:00:00+00:00,-0.692307692308,-0.693450227493,-0.9
2015-10-13 00:00:00+00:00,-1.84615384615,-1.84739228258,-3.31
2015-10-14 00:00:00+00:00,-2.36363636364,-2.36497821415,-2.97
2015-10-15 00:00:00+00:00,-1.76923076923,-1.77068408784,-1.93
2015-10-17 00:00:00+00:00,-2.53846153846,-2.54016429706,-2.8
2015-10-18 00:00:00+00:00,-3.30769230769,-3.30953430346,-4.02
2015-10-19 00:00:00+00:00,-3.15384615385,-3.15583797553,-2.71
2015-10-20 00:00:00+00:00,-0.846153846154,-0.848306819073,-1.01
2015-10-21 00:00:00+00:00,-1.92307692308,-1.92540315473,-2.32
2015-10-22 00:00:00+00:00,-2.69230769231,-2.69482012037,-2.72
2015-10-23 00:00:00+00:00,-4.46153846154,-4.46425090436,-4.94
2015-10-24 00:00:00+00:00,-2.0,-2.00292720968,-1.32
2015-10-25 00:00:00+00:00,-4.25,-4.25315771808,-4.74
2015-10-26 00:00:00+00:00,-6.69230769231,-6.69571270831,-7.38
2015-10-27 00:00:00+00:00,-6.84615384615,-6.84982405894,-7.28
2015-10-28 00:00:00+00:00,-4.33333333333,-4.33728781542,-5.34
2015-10-29 00:00:00+00:00,-5.07692307692,-5.08118214187,-4.43076923077
2015-10-30 00:00:00+00:00,-1.38461538462,-1.38920065759,-0.9375
2015-10-31 00:00:00+00:00,-5.15384615385,-5.15878064541,-5.47
2015-11-01 00:00:00+00:00,-7.38461538462,-7.38992356787,-7.7
2015-11-02 00:00:00+00:00,-4.08333333333,-4.08904122454,-9.5
2015-11-03 00:00:00+00:00,-4.84615384615,-4.85228908887,-4.85
2015-11-04 00:00:00+00:00,-3.0,-3.00659195285,-3.2125
2015-11-05 00:00:00+00:00,-6.75,-6.75707982819,-7.62
2015-11-06 00:00:00+00:00,-5.53846153846,-5.54606230909,-5.31666666667
2015-11-07 00:00:00+00:00,-2.92307692308,-2.93123370436,-3.0
2015-11-08 00:00:00+00:00,-6.08333333333,-6.09208329781,-6.73
2015-11-09 00:00:00+00:00,-6.07692307692,-6.08630560871,-6.69
